Table V9.0,fnGetKeys.Key,fnGetKeys.Description,fnGetKeys.Duplicates,fnGetKeys.Activity code
ATYPERPAR,ATYRP1,CODTYP+TYPRUL+TRTRUL+PRGRUL+PARORD,Yes,
ATYPERUL,ATYR0,CODTYP+TYPRUL+TRTRUL+PRGRUL,No,
AUDITBI,AUD0,SEQ,No,
AUDITBI,AUD1,STA+SEQ,No,
AUDITBI,AUD2,ADOUSR,Yes,
AUDITBI,AUD3,STABI+SEQ,No,
AUDITH,AUD0,SEQ,No,
AUDITH,AUD1,STA+SEQ,No,
AUDITH,AUD2,ADOUSR,Yes,
AUDITH,AUD3,STABI+SEQ,No,
AUDITL,AUL0,SEQ+COL,No,
AURL,AUR0,CODURL,No,
AUSRBPR,AUB0,USR+BPR+ROL,No,
AUSRSOL,AUO0,USR,No,
AUSRSTA,AUA0,NUM,No,
AUSRSTA,AUA1,DOSSIER+USR+PER+EVT+ARG1+ARG2,No,
AUTILIS,CODUSR,USR,No,
AUTILIS,LOGIN,LOGIN,Yes,
AVALATT,AVA0,CODNUM+SITE+PERIODE+COMP+VALEUR,No,
AVALNUM,AVN0,CODNUM+SITE+PERIODE+COMP,No,
AVARLOC,AVR0,TYP+FCT+COD,No,
AVIEW,AVW0,CODVUE,No,
AVIEW,AVW1,ABRVUE,Yes,
AVIEWB,AVB0,CODVUE+TYPDBA,No,
AVIEWC,AVC0,CODVUE+CODCLE,No,
AVIEWC,AVC1,CODVUE+NUMLIG+CODCLE,No,
AVIEWD,AVD0,CODVUE+NUMLIG+FLDVUE,No,
AVIEWD,AVD1,CODVUE+FLDVUE,No,
AVIEWD,AVD2,CODTYP+CODVUE+FLDVUE,No,
AVOCAB,AVO0,LAN+VER+TYP+CHP+NUM,No,
AVOLUME,CODE,VOLUME,No,
AWEBSERDES,AWY1,PUBLI+GRP+CHP,No,
AWEBSERVIC,AWE1,PUBLI,No,
AWINBOUT,AWT0,WIN+NUM+CODBOUT,No,
AWINBRO,AWB0,WIN,No,
AWINDOW,AWI0,WIN,No,
AWINDOW,AWI1,OBJ+WIN,No,
AWINDOW,AWI2,OBJ+TRN+WIN,No,
AWINPAR,AWP0,WIN+NUM+NOPAR+PARAM,No,
AWRKHISDES,AWO0,CHRONO+EMAIL,No,
AWRKHISDES,AWO1,LNKHTP,Yes,
AWRKHISJOI,AWJ0,CHRONO+JOINUM,No,
AWRKHISMES,AWG0,CHRONO,No,
AWRKHISMES,AWG1,REFGRP+NUMGRP+CHRONO,No,
AWRKHISSUI,AWS0,CHRONO+DEST,No,
AWRKHISSUI,AWS1,NUMORG+CHRONO+DEST,No,
AWRKHISSUI,AWS2,DEST+CHRONO,No,
AWRKHISSUI,AWS3,CHRONO+EMAIL,Yes,
AWRKHISSUI,AWS4,NUMGRP+CHRONO+USRTOP,Yes,
AWRKHISSUI,AWS5,TYPEVT+CLEOBJ+IDENTGRP+NUMORG+LEVSIG,Yes,
AWRKHISSUI,AWS6,CODWRK+CODEVT+FLGSIG+DEST,Yes,
AWRKLNK,AWM0,MODELE,No,
AWRKLNK,AWM1,CODSTR+MODELE,No,
AWRKPAR,AWA0,CODE,No,
AWRKPAR,AWA1,TYPEVT+CODEVT+CODE,No,
AWRKPAR,AWA2,CATEG+CODE,No,
AWRKPARC,AWC0,CODE+NUMACT,No,
AWRKPARF,AWF0,CODE,No,
AWRKPARH,AWH0,CODE,No,
AWRKPARX,AWX0,CODE,No,
AWRKREG,AWR0,CPY+REGLE,No,
AWRKREG,AWR1,REGLE+CPY,No,
AWRKREG,AWR2,MODELE+REGLE+CPY,No,
AWRKREGVAL,AWV0,REGLE+CPY+NUMLIG,No,
AWRKTAB,AWK0,MODELE+NUMLIG,No,
AWRKTRN,AWW0,WRKTRN,No,
AWRKTRND,AWD0,WRKTRN+NUMMSK,No,
AWRKUSR,AWU0,USER+NUMDEL,No,
AWSDL,AXL0,CWSDL,No,
AWSDL1,AX10,CWSDL+TWSDL+NWSDL,No,
AYTACT,AYA0,FCYCOD+ACTCOD,No,
AYTADVPAR,AYU0,FCYCOD+OBJTYP+OBJCOD+LIN,No,
AYTBASKED,AYK0,NUM+BASKLIN,No,
AYTDOC,AYY2,LAN+DOCCOD,No,
AYTDOC,AYY0,DOCCOD+LAN,No,
AYTDOC,AYY1,CAT+BRWX3,No,
AYTELTBLC,AYB0,FCYCOD+BLCCOD,No,
AYTELTBLCW,AYW0,FCYCOD+BLCWHNCOD,No,
AYTELTDLK,AYL0,FCYCOD+DLKCOD,No,
AYTELTFLD,AYF0,FCYCOD+FIECOD,No,
AYTELTSPE,AYX0,FCYCOD+SPXCOD,No,
AYTENT,AYE0,FCYCOD+ENTCOD,No,
AYTFCY,AYS0,FCYCOD,No,
AYTFRM,AYZ0,FRMCOD,No,
AYTFRM,AYZ1,TYP+FRMCOD,No,
AYTINT,AYI0,FCYCOD+INTCOD,No,
AYTINT,AYI1,WEBSRCCOD,Yes,
AYTLINES,AYN0,FCYCOD+LINCODTYP+LINCOD+LINTYP+LINNUM,No,
AYTMEN,AYC0,FCYCOD+MENCOD,No,
AYTMES,AYM0,FCYCOD+MESCOD,No,
AYTMES,AYM1,CAT+BRWX3,No,
AYTPAG,AYG0,FCYCOD+PAGCOD,No,
AYTPOOWEB,AYO0,POOCOD,No,
AYTPOOWEB,AY1,POOX3+POOCOD,No,
AYTPRF,AYD0,FCYCOD+PRFCOD,No,
AYTPRFUSR,AYH0,CODPRF,No,
AYTPRFX3,AYR0,USR+FCYXTDCOD,No,
AYTTEST,AYT0,COD1+COD2,No,
BALAGEEOY,BGY0,USR+NUMREQ+CPY+CODBLK+BPR+ACCDAT+DUDDAT+TYP+NUM+DUDLIG,No,
BALANA,BLA0,LEDTYP+CPY+FCY+FIY+ACC+BPR+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+CUR,No,
BALANA,BLA1,ACCNUM,No,
BALANA,BLA2,LEDTYP+CPY+CUR+FCY+ACC+BPR+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+FIY,No,
BALANA,BLA3,LEDTYP+CUR+FCY+FIY+ACC+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+BPR+CPY,No,
BALANCE,BAL0,LEDTYP+CPY+FCY+FIY+ACC+BPR+CUR,No,
BALANCE,BAL1,ACCNUM,No,
BALANCE,BAL2,LEDTYP+CUR+CPY+FCY+ACC+BPR+FIY,No,
BALCONSO,BLC0,LEDTYP+GRUGPY+CPYGRU+ACCGRU+BPRGRU+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+CURTRS+CRI,No,
BALDEM,BAM0,LEDTYP+CPY+FCY+FIY+DEBACC+DEBBPR+CDTACC+CDTBPR+IDTDEBCCE+IDTCDTCCE+CUR,No,
BALDEMIDT,BAI0,CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9,No,
BALDEMIDT,BAI1,IDTCCE,No,
BANK,BAN0,BAN,No,
BANKPOSD,BPL0,CNSUSR+CPY+FCY+GRPBAN+BAN+TYPFRT+DUDDAT,No,
BANKPOSD,BPL1,INDLNK,Yes,
BANREC,BEH0,RBKNUM,No,
BANRECD,BED0,RBKNUM+ACCNUM,No,
BANRECD,BED1,ACCNUM,No,
BAPPOINT,APP0,APTNUM,No,
BAPPOINT,APP1,APTWEE,Yes,
BAPPOINT,APP2,APTDAT+APTHOU+APTNUM,No,
BAPPOINT,APP3,APTWEE+APTDAT+APTHOU,Yes,
BAPPOINT,APP4,APTDATX,Yes,
BAPPOINT,APP5,APTCMP,Yes,
BAPPOINT,APP6,APTORI+APTORIVCR+APTORIVCRL,Yes,
BATCH,BTC0,COD,No,
BATCH,BTC1,RQT,Yes,
BENCHTRS,BTS0,BTSTYP+BTSNUM,No,
BENCHTRS,BTS1,BTSNUM+BTSTYP,No,
BETCPY,BCH0,CLE,No,
BETCPYL,BCL0,NUMERO,No,
BETCPYL,BCL1,FLG1234+NUMERO,No,
BETCPYL,BCL2,CRIBETCPY,No,
BGRBAN,BGR0,GRPBAN,No,
BID,BID0,BPATYP+BPANUM+BIDNUM+BPAADD,No,
BID,BID2,BPATYP+BPANUM+BPAADD,Yes,
BILLLADC,BOLC0,BOLNUM+BOLLIN,No,
BILLLADC,BOLC1,BOLNUM+DOCNUMCON,No,
BILLLADD,BOLD0,BOLNUM+BOLLIN,No,
BILLLADD,BOLD1,BOLNUM+FRTCLS+PCK+NMFC,Yes,
BILLLADH,BOLH0,BOLNUM,No,
BILLLADWRK,BOLW0,REQNUM+USER+BOLNUM+BOLLIN,No,
BILSTA,BES0,FRMNUM+LIN,No,
BILSTA,BES1,PAYNUM+FRMNUM+LIN,No,
BITMPPORDERP,BIPOP0,BIPOPADXUID+POHNUM+POPLIN+POPSEQ,No,
BITMPPORDERQ,BIPOQ0,BIPOQADXUID+POHNUM+POPLIN+POQSEQ,No,
BITMPSORDERP,BISOP0,BISOPADXUID+SOHNUM+SOPLIN+SOPSEQ,No,
BITMPSORDERQ,BISOQ0,BISOQADXUID+SOHNUM+SOPLIN+SOQSEQ,No,
BLACMM,BLM0,LEDTYP+CPY+FCY+FIY+ACC+BPR+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+CUR,No,
BLACMM,BLM1,ACCNUM,No,
BLAQTY,BLQ0,LEDTYP+CPY+FCY+FIY+ACC+BPR+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+CUR,No,
BLAQTY,BLQ1,ACCNUM,No,
BLAQTY,BLQ3,LEDTYP+CUR+FCY+FIY+ACC+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+BPR+CPY,No,
BLOBEXPENSES,BEXP0,ACCNUM,No,
BLOBEXPENSES,BEXP1,CLB+DATEXS,Yes,
BNKTRSIMP,TFH0,FICHIER+LIN,No,
BOM,BOH0,ITMREF+BOMALT+BOMALTTYP,No,
BOMD,BOD0,ITMREF+BOMALT+BOMSEQ+CPNITMREF+BOMALTTYP,No,
BOMD,BOD1,CPNITMREF+ITMREF+BOMALT+BOMSEQ+BOMALTTYP,No,
BOMD,BOD2,ITMREF+BOMALT+BOMSEQ+BOMSEQNUM+CPNITMREF+BOMALTTYP,No,
BOMD,BOD3,BOMALT+CPNITMREF+BOMALTTYP+ITMREF+BOMSEQ,No,
BOMD,BOD4,BOMALT+ITMREF+BOMALTTYP+CPNITMREF+BOMSEQ,No,
BOMPRN,BOP0,BOPUID+BOMALTTYP+BOMALT+ITMREF+LIG,No,
BOMRET,BMR0,BMRUID+ITMREF+NIV,No,
BOMWUS,BOW0,BOWUID+ITMREF+BOMALT+BOMSEQ+CPNITMREF+BOMALTTYP,No,
BOMWUS,BOW1,BOWUID+BOMALT+BOMALTTYP+ITMREF+BOMSEQ+CPNITMREF,No,
BOX1099,BX90,FRM1099+BOX1099,No,
BP1096PRN,B96R0,YR1099+CPY+NUMLIG,No,
BP1099BEGBAL,B9B0,YR1099+CPY+BPSNUM+SEQ,Yes,
BP1099BEGBAL,B9B1,YR1099+CPY+BPSNUM+FRM1099+BOX1099,No,
BP1099PRN,B9R0,YR1099+CPY+BPSNUM+NUMLIG,No,
BPADDRESS,BPA0,BPATYP+BPANUM+BPAADD,No,
BPARTNER,BPR0,BPRNUM,No,
BPARTNER,BPR1,BPRSHO,Yes,
BPARTNER,BPR2,BETFCY+FCY+BPRNUM,No,
BPCARRIER,BPT0,BPTNUM,No,
BPCARRIER,BPT1,BPTNAM,Yes,
BPCCATEG,BCG0,BCGCOD,No,
BPCINVLIG,SIL0,NUM+LIG,No,
BPCINVLIGA,SIA0,NUM+LIG+ANALIG,No,
BPCINVVAT,SIT0,NUM,No,
BPCUSTMVT,MVC0,BPCRSK+CPY+BPCNUM+CUR,No,
BPCUSTMVT,MVC1,BPCNUM+CPY,Yes,
BPCUSTOMER,BPC0,BPCNUM,No,
BPCUSTOMER,BPC1,BPCNAM,Yes,
BPDLVCUST,BPD0,BPCNUM+BPAADD,No,
BPDLVCUST,BPD1,RCPFCY+BPCNUM+BPAADD,No,
BPEXCEPT,BPE0,BPRNUM+CPY,No,
BPMISC,BPM0,BPRTYP+BPRNUM,No,
BPMISCCGF,BPG0,BPRTYP+LAN,Yes,
BPS1099GEN,B9G0,YR1099+CPY+BPSNUM+FRM1099+BOX1099,No,
BPS1099GEN,B9G1,YR1099+CPY+BPSNUM,Yes,
BPS1099GEN,B9G2,YR1099+CPY+BPSNUM+FRM1099,Yes,
BPS1099MNT,B9M0,YR1099+CPY+BPSNUM+FRM1099+BOX1099,No,
BPS1099PAY,B9P0,YR1099+CPY+BPSNUM+PAYNUM+PAYLIN,No,
BPS1099PAY,B9P1,YR1099+CPY+BPSNUM+FRM1099+BOX1099,Yes,
BPSCATEG,BSG0,BSGCOD,No,
BPSHISUPLN,BSL0,BPSNUM+CPY+BPSSHI+BPSADD,No,
BPSHISUPLN,BSL1,BPSSHI+BPSADD,Yes,
BPSHISUPP,BSS0,BPSSHI+BPSADD,No,
BPSINVLIG,PIL0,NUM+LIG,No,
BPSINVLIGA,PIA0,NUM+LIG+ANALIG,No,
BPSUPPLIER,BPS0,BPSNUM,No,
BPSUPPLIER,BPS1,BPSNAM,Yes,
BPSUPPLIER,BPS2,BPSSHO,Yes,
BPSUPPMVT,MVS0,BPSRSK+CPY+BPSNUM+CUR,No,
BPSUPPMVT,MVS1,BPSNUM+CPY,Yes,
BRDKEY,BRD0,CPY+BRDREF+DSPKEY,No,
BRDKEY,BRD1,CPY+BRDREF,No,
BUD,BUD0,LEDTYP+BUD+CPY+FCY+FIY+VER+ACC+CCE1+CCE2+CCE3,No,
BUD,BUD1,ACCNUM,No,
BUD,BUD2,CCE2+ACCNUM,No,
BUD,BUD3,CCE2+FIY+CCE1+ACC,Yes,
BUD,BUD4,CCE2+FIY,Yes,
BUDAPP,BOA0,NUM,No,
BUDAPP,BOA1,TYP+ENV+FIY+ACC,Yes,
BUDAPPDET,BAD0,NUMERO+NUMAPP,No,
BUDAPPDET,BAD1,NUMAPP+NUMERO,No,
BUDFORCAL,BUC0,BUDFOR+LIN,No,
BUDOD,BDE0,NUM,No,
BUDODS,BDO0,NUM+LIN,No,
BUDPAR,BUP0,BUD,No,
BUDPURAUD,BUA0,TYP+TYPPCE+NUM+LIN+SEQ+ANALIN+FIY,Yes,
BUDPURAUD,BUA1,BUANUM,No,
BUDREV,BRV0,NUM,No,
BUDREV,BRV1,TYP+ENV+FIY+ACC,Yes,
BUDREVDET,BVD0,NUMERO+NUMREV,No,
BUDTYP,BUT0,BUDCOD,No,
BUDVARCAL,BVC0,BUDFOR+VARCOD,No,
BUDVER,BUV0,BUD+VER,No,
BUILOCSPA,BLS0,NUM,No,
CAAUZ,CAZ0,TYP+AUZ1+AUZ2,No,
CACCE,CCE0,DIE+CCE,No,
CACCEDEF,CDE0,COD+CPY,No,
CADIEDEF,CDI0,OBJ,No,
CADISTMP,DTP0,DTP,No,
CADSP,DSP0,DSP+NBRDSP,No,
CALCDBG,CDG0,BRKNORD,No,
CALIBRAT,CBT0,FCY+SLE+CBTDAT+MVTSEQ,No,
CALIGUIDES,CGD0,CGD+CGDLIG,No,
CALLATTEMP,CTT0,CTTNUM,No,
CALLATTEMP,CTT1,CTTCMP,Yes,
CALLATTEMP,CTT2,CTTCCN,Yes,
CAPFLOTMP,CWT0,NUMREQ+LIN,No,
CAPVAR,CPV0,WST+WCRFCY,No,
CARAREA,CAA0,BPTNUM+LINNUM,No,
CARAREA,CAA1,BPTNUM+STOFCY+CRY+POSCOD,Yes,
CARPRICE,CAP0,BPTNUM+BPTARE+RANG,No,
CARPRICE,CAP1,BPTNUM+RANG+BPTARE,No,
CARPRICE,CAP2,BPTNUM+BPTARE+MAXQTY,No,
CASHING,CAS0,GRAREF+CASHDAT,No,
CASHING,CAS1,CPY+GRAREF+CASHDAT,No,
CASHING,CAS2,CPY+FCY+GRAREF+CASHDAT,No,
CASHPAYSPA,CPS0,TYP+NUM+LIN,No,
CASHPAYSPA,CPS1,ACCNUM+LIN,No,
CASHPAYSPA,CPS2,BPRNUM,Yes,
CBLOB,CBB0,CODBLB+IDENT1+IDENT2,No,
CBNDET,CBD0,STOFCY+ITMREF+BUC+REQDAT+WIPTYP+WIPNUM,No,
CBNDET,CBD1,STOFCY+SUGTYP+SUGSTA+SUGNUM,Yes,
CBNDET,CBD2,STOFCY+ITMREF+WIPTYP+WIPSTA,Yes,
CBNDET,CBD3,ITMREF+STOFCY+BUC+REQDAT+WIPTYP+WIPNUM,No,
CBNDET,CBD4,ITMREFORI+STOFCY+WIPTYP+WIPSTA,Yes,
CBNHEA,CBH0,STOFCY+ITMREF,No,
CBNHEA,CBH1,STOFCY+LLC+ITMREF,No,
CBNWRK,CBW0,STOFCY+ITMREF+RECCOD+DAT,No,
CCMACTION,CCMACT_0,ACTIONID,No,
CCMAPPROVER,CCMAPPR0,CRID+APPRLN,No,
CCMAPPROVER,CCMAPPR1,CRID+APPRUSER,Yes,
CCMAPPROVER,CCMAPPR2,CRID+SORTSEQ,Yes,
CCMCHGREQ,CCMCR0,CRID,No,
CCMCRDESC,CCMCR0,CRID,No,
CCMCRNOTES,CCMCRN0,CRID+NOTELINE,No,
CCMCRORIGC,CCMCROC0,CRID+ORIGCLN,No,
CCMCRORIGC,CCMCROC1,CRID+BPCNUM,No,
CCMCRORIGC,CCMCROC2,CRID+SORTSEQ,Yes,
CCMCRORIGE,CCMCROE0,CRID+ORIGELN,No,
CCMCRORIGE,CCMCROE1,CRID+EXTCONTACT,No,
CCMCRORIGE,CCMCROE2,CRID+SORTSEQ,Yes,
CCMCRORIGI,CCMCROI0,CRID+ORIGILN,No,
CCMCRORIGI,CCMCROI1,CRID+USER,No,
CCMCRORIGI,CCMCROI2,CRID+SORTSEQ,Yes,
CCMCRORIGS,CCMCROS0,CRID+ORIGSLN,No,
CCMCRORIGS,CCMCROS1,CRID+BPSNUM,No,
CCMCRORIGS,CCMCROS2,CRID+SORTSEQ,Yes,
CCMIMPBOD,CCMBOD0,CRID+LINENO,No,
CCMIMPBOD,CCMBOD1,CRID+SORTSEQ,No,
CCMIMPBOH,CCMBOH0,CRID,No,
CCMIMPFOD,CCMIFOD0,CRID+LINENO,No,
CCMIMPFOD,CCMIFOD1,CRID+SORTSEQ,No,
CCMIMPFOH,CCMIFOH0,CRID,No,
CCMIMPITM,CCMITM0,CRID,No,
CCMIMPITMDET,CCMITD0,CRID+LINENO,No,
CCMIMPITMDET,CCMITD1,CRID+SORTSEQ,No,
CCMIMPMFGD,CCMMFGD0,CRID+LINENO,No,
CCMIMPMFGD,CCMMFGD1,CRID+SORTSEQ,Yes,
CCMIMPMFGH,CCMMFGH0,CRID,No,
CCMIMPPOD,CCMPOD0,CRID+LINENO,No,
CCMIMPPOD,CCMPOD1,CRID+SORTSEQ,No,
CCMIMPPOD,CCMPOD2,CRID+BPSNUM+POHNUM,Yes,
CCMIMPPOH,CCMPOH0,CRID,No,
CCMIMPPRD,CCMPRD0,CRID+LINENO,No,
CCMIMPPRD,CCMPRD2,CRID+SORTSEQ,No,
CCMIMPPRH,CCMPRH0,CRID,No,
CCMIMPROD,CCMROD0,CRID+LINENO,No,
CCMIMPROD,CCMROD1,CRID+SORTSEQ,No,
CCMIMPROH,CCMROH0,CRID,No,
CCMIMPSCD,CCMSCD,CRID+LINENO,No,
CCMIMPSCH,CCMSCH0,CRID,No,
CCMIMPSOD,CCMSOD0,CRID+LINENO,No,
CCMIMPSOD,CCMSOD1,CRID+SORTSEQ,No,
CCMIMPSOD,CCMSOD2,CRID+BPCORD+SOHNUM,Yes,
CCMIMPSOH,CCMSOH0,CRID,No,
CCMIMPSQD,CCMSQD0,CRID+LINENO,No,
CCMIMPSQD,CCMSQD1,CRID+SORTSEQ,No,
CCMIMPSQD,CCMSQD2,CRID+BPCORD+SQHNUM,Yes,
CCMIMPSQH,CCMSQH0,CRID,No,
CCMPLAND,CCMPD_0,CRID+LINENO,No,
CCMPLAND,CCMPD_1,CRID+SORTSEQ,Yes,
CCMPLANH,CCMPH_0,CRID,No,
CCMREJDSC,CCMCR0,CRID,No,
CCMVCREXC,CVE0,VCRTYP+VCRNUM+VCRLIN+VCRSEQ+ITMREF,No,
CCMVCREXC,CVE1,CCMRID+CCMSTA,Yes,
CCMVCREXC,CVE2,STOFCY+ITMREF,Yes,
CCNCOE,COE0,CPY+CCNACTCOD,No,
CCNRPR,RPR0,AASREF+FIYENDDAT+PERENDDAT,No,
CCNRPR,RPR7,FLGDEV+CPY+FIYENDDAT+PERENDDAT,Yes,
CDFCOD,CDC,REFCDF+VALOLDCOD,No,
CDFCPY,CDS,REFCDF+CPY,No,
CDFFCY,CDY,REFCDF+FCY,No,
CDFPAR,CDF0,REFCDF,No,
CDFPAR,CDF1,TABNAM+REFCDF,No,
CDFPAR,CDF2,TABNAM+REFCDF+CPYSRC+CPYDES,No,
CDIADSP,DAD0,LED+COD+LIN,No,
CDIADSP,DAD1,LED+COD,Yes,
CFGABQ,CAB0,ABQNUM+ABQLIN,No,
CFGABQ,CAB1,ABQNUM+ALPENDVAL+NUMENDVAL+DATENDVAL,Yes,
CFGABQ,CAB2,ABQNUM+ALPSTRVAL+NUMSTRVAL+DATSTRVAL+ALPSTRVALY+NUMSTRVALY+DATSTRVALY,Yes,
CFGDEF,CDF0,RECCOD+CODFIC+CODFLD+SCENUM,No,
CFGDEF,CDF1,RECCOD+CODFIC+SCENUM+CODFLD,No,
CFGHIS,CFH0,SCENUM+CFGVCRNUM+SYMNUM+SYMSEQ,No,
CFGHIS,CFH1,CFGVCRNUM+SCENUM+SYMNUM+SYMSEQ,No,
CFGHIS,CFH2,SCENUM+SYMSEQ+SYMNUM+CFGVCRNUM,No,
CFGHISHEA,CHH0,CFGVCRNUM,No,
CFGHISHEA,CHH1,SCENUM+CFGVCRNUM,No,
CFGHISHEA,CHH2,SCENUM+CFGBPRNUM+CFGBPRREF,Yes,
CFGLNK,CLN0,SYMTYPWUS+SYMNUMWUS+SYMTYP+SYMNUM,No,
CFGLNK,CLN1,SYMTYP+SYMNUM+SYMTYPWUS+SYMNUMWUS,No,
CFGMAC,CFM0,MACNUM+MACLIN,No,
CFGMAC,CFM1,SYMTYP+SYMNUM+MACNUM,Yes,
CFGMEMO,CME0,RECCOD+SCENUM+CREUSR+CFGBPRNUM+CFGBPRREF+QSTNUM+SELSEQ,No,
CFGMEMO,CME1,RECCOD+PRONUM+SCENUM+QSTNUM,Yes,
CFGMENLOC,CLE,LANCHP+LANNUM+LAN,No,
CFGOPTVAR,COV0,SELNUM+SELSEQ,No,
CFGQST,CQU0,QSTNUM,No,
CFGQST,CQU1,QSTORI+QSTTYP+QSTNUM,No,
CFGQST,CQU2,QSTLEN+QSTNUM,No,
CFGSCE,CSC0,SCENUM,No,
CFGSCELIN,CSL0,SCENUM+SCENUMTYP+SCENUMSEQ+SCENUMLIN,No,
CFGSCELIN,CSL1,SYMTYP+SYMNUM+SCENUM,Yes,
CFGSEL,CSE0,SELNUM,No,
CFGSHA,CSH0,SHACAT+SHANUM,No,
CFGTEX,CFT0,PRONUM+RECCOD+CODFIC+CODZON+CLE+CLE1,No,
CFODUDDATE,CFODD0,TYP+NUM+LIG+DUDLIG,No,
CFODUDDATE,CFODD1,FLGCLE+FCY+BPRPAY+CFODAT,Yes,
CFOMANMVT,CFOMM0,CFOTYP+NUM+CFOLIN,No,
CFOMANMVT,CFOMM1,BPRNUM+BAN,Yes,
CFOMANMVT,CFOMM2,BAN+BPRNUM,Yes,
CFOMANMVT,CFOMM3,CFOTYP+CFOSTA+CPY+FCY,Yes,
